Kategorie: Alle Kategorien

Woche,Arc de Triomphe: (Weltweit)
2023-01-01,60
2023-01-08,45
2023-01-15,43
2023-01-22,45
2023-01-29,42
2023-02-05,47
2023-02-12,49
2023-02-19,53
2023-02-26,47
2023-03-05,42
2023-03-12,48
2023-03-19,52
2023-03-26,51
2023-04-02,60
2023-04-09,54
2023-04-16,54
2023-04-23,55
2023-04-30,54
2023-05-07,55
2023-05-14,59
2023-05-21,55
2023-05-28,75
2023-06-04,62
2023-06-11,54
2023-06-18,53
2023-06-25,52
2023-07-02,51
2023-07-09,60
2023-07-16,54
2023-07-23,61
2023-07-30,52
2023-08-06,57
2023-08-13,55
2023-08-20,46
2023-08-27,50
2023-09-03,47
2023-09-10,50
2023-09-17,61
2023-09-24,78
2023-10-01,100
2023-10-08,51
2023-10-15,46
2023-10-22,49
2023-10-29,49
2023-11-05,53
2023-11-12,47
2023-11-19,43
2023-11-26,41
2023-12-03,40
2023-12-10,38
2023-12-17,40
2023-12-24,58
2023-12-31,89
