Kategorie: Alle Kategorien

Woche,French cuisine: (Weltweit)
2023-01-01,81
2023-01-08,81
2023-01-15,81
2023-01-22,78
2023-01-29,90
2023-02-05,84
2023-02-12,82
2023-02-19,91
2023-02-26,100
2023-03-05,83
2023-03-12,79
2023-03-19,81
2023-03-26,82
2023-04-02,71
2023-04-09,71
2023-04-16,84
2023-04-23,71
2023-04-30,84
2023-05-07,85
2023-05-14,80
2023-05-21,79
2023-05-28,76
2023-06-04,78
2023-06-11,72
2023-06-18,71
2023-06-25,67
2023-07-02,72
2023-07-09,73
2023-07-16,69
2023-07-23,78
2023-07-30,66
2023-08-06,72
2023-08-13,70
2023-08-20,71
2023-08-27,79
2023-09-03,81
2023-09-10,80
2023-09-17,77
2023-09-24,84
2023-10-01,75
2023-10-08,80
2023-10-15,82
2023-10-22,76
2023-10-29,73
2023-11-05,79
2023-11-12,80
2023-11-19,71
2023-11-26,79
2023-12-03,77
2023-12-10,79
2023-12-17,67
2023-12-24,77
2023-12-31,74
