Kategorie: Alle Kategorien

Woche,Palace of Versailles: (Weltweit)
2023-01-01,71
2023-01-08,75
2023-01-15,78
2023-01-22,71
2023-01-29,73
2023-02-05,86
2023-02-12,85
2023-02-19,79
2023-02-26,76
2023-03-05,82
2023-03-12,71
2023-03-19,84
2023-03-26,81
2023-04-02,83
2023-04-09,80
2023-04-16,79
2023-04-23,77
2023-04-30,88
2023-05-07,86
2023-05-14,83
2023-05-21,79
2023-05-28,83
2023-06-04,90
2023-06-11,79
2023-06-18,80
2023-06-25,80
2023-07-02,77
2023-07-09,78
2023-07-16,69
2023-07-23,71
2023-07-30,69
2023-08-06,62
2023-08-13,66
2023-08-20,79
2023-08-27,71
2023-09-03,70
2023-09-10,80
2023-09-17,100
2023-09-24,89
2023-10-01,93
2023-10-08,87
2023-10-15,94
2023-10-22,86
2023-10-29,82
2023-11-05,82
2023-11-12,87
2023-11-19,65
2023-11-26,90
2023-12-03,86
2023-12-10,79
2023-12-17,61
2023-12-24,59
2023-12-31,68
