Kategorie: Alle Kategorien

Woche,river cruises France: (Weltweit)
2023-01-01,68
2023-01-08,72
2023-01-15,96
2023-01-22,83
2023-01-29,100
2023-02-05,69
2023-02-12,52
2023-02-19,70
2023-02-26,77
2023-03-05,66
2023-03-12,34
2023-03-19,68
2023-03-26,96
2023-04-02,76
2023-04-09,37
2023-04-16,96
2023-04-23,55
2023-04-30,77
2023-05-07,44
2023-05-14,38
2023-05-21,57
2023-05-28,78
2023-06-04,63
2023-06-11,58
2023-06-18,77
2023-06-25,89
2023-07-02,71
2023-07-09,64
2023-07-16,59
2023-07-23,53
2023-07-30,66
2023-08-06,77
2023-08-13,94
2023-08-20,58
2023-08-27,68
2023-09-03,100
2023-09-10,63
2023-09-17,47
2023-09-24,48
2023-10-01,56
2023-10-08,58
2023-10-15,57
2023-10-22,52
2023-10-29,46
2023-11-05,41
2023-11-12,32
2023-11-19,42
2023-11-26,40
2023-12-03,31
2023-12-10,41
2023-12-17,33
2023-12-24,62
2023-12-31,77
