Kategorie: Alle Kategorien

Woche,Disneyland Paris: (Weltweit)
2021-12-26,68
2022-01-02,67
2022-01-09,63
2022-01-16,58
2022-01-23,69
2022-01-30,75
2022-02-06,78
2022-02-13,83
2022-02-20,77
2022-02-27,76
2022-03-06,87
2022-03-13,88
2022-03-20,92
2022-03-27,90
2022-04-03,88
2022-04-10,92
2022-04-17,91
2022-04-24,78
2022-05-01,81
2022-05-08,74
2022-05-15,78
2022-05-22,82
2022-05-29,79
2022-06-05,86
2022-06-12,72
2022-06-19,75
2022-06-26,71
2022-07-03,75
2022-07-10,74
2022-07-17,78
2022-07-24,80
2022-07-31,81
2022-08-07,82
2022-08-14,86
2022-08-21,82
2022-08-28,88
2022-09-04,80
2022-09-11,84
2022-09-18,85
2022-09-25,96
2022-10-02,90
2022-10-09,81
2022-10-16,86
2022-10-23,85
2022-10-30,79
2022-11-06,75
2022-11-13,71
2022-11-20,67
2022-11-27,64
2022-12-04,64
2022-12-11,57
2022-12-18,63
2022-12-25,100
