Kategorie: Alle Kategorien

Woche,France travel restrictions: (Weltweit)
2021-12-26,40
2022-01-02,62
2022-01-09,100
2022-01-16,27
2022-01-23,28
2022-01-30,32
2022-02-06,42
2022-02-13,26
2022-02-20,21
2022-02-27,18
2022-03-06,19
2022-03-13,24
2022-03-20,18
2022-03-27,19
2022-04-03,17
2022-04-10,14
2022-04-17,13
2022-04-24,13
2022-05-01,14
2022-05-08,13
2022-05-15,14
2022-05-22,13
2022-05-29,12
2022-06-05,12
2022-06-12,10
2022-06-19,11
2022-06-26,9
2022-07-03,9
2022-07-10,9
2022-07-17,7
2022-07-24,8
2022-07-31,9
2022-08-07,6
2022-08-14,5
2022-08-21,4
2022-08-28,4
2022-09-04,3
2022-09-11,3
2022-09-18,3
2022-09-25,2
2022-10-02,2
2022-10-09,2
2022-10-16,2
2022-10-23,2
2022-10-30,1
2022-11-06,1
2022-11-13,1
2022-11-20,1
2022-11-27,1
2022-12-04,1
2022-12-11,1
2022-12-18,1
2022-12-25,1
