Kategorie: Alle Kategorien

Woche,currency exchange in France: (Weltweit)
2021-12-26,0
2022-01-02,58
2022-01-09,0
2022-01-16,0
2022-01-23,0
2022-01-30,0
2022-02-06,0
2022-02-13,74
2022-02-20,54
2022-02-27,0
2022-03-06,52
2022-03-13,78
2022-03-20,48
2022-03-27,76
2022-04-03,89
2022-04-10,55
2022-04-17,73
2022-04-24,69
2022-05-01,100
2022-05-08,69
2022-05-15,97
2022-05-22,79
2022-05-29,45
2022-06-05,72
2022-06-12,72
2022-06-19,94
2022-06-26,58
2022-07-03,85
2022-07-10,65
2022-07-17,85
2022-07-24,79
2022-07-31,44
2022-08-07,0
2022-08-14,64
2022-08-21,58
2022-08-28,54
2022-09-04,82
2022-09-11,61
2022-09-18,81
2022-09-25,63
2022-10-02,57
2022-10-09,50
2022-10-16,75
2022-10-23,85
2022-10-30,74
2022-11-06,50
2022-11-13,58
2022-11-20,71
2022-11-27,53
2022-12-04,68
2022-12-11,69
2022-12-18,53
2022-12-25,0
