Kategorie: Alle Kategorien

Woche,train travel in France: (Weltweit)
2021-12-26,52
2022-01-02,45
2022-01-09,37
2022-01-16,50
2022-01-23,48
2022-01-30,68
2022-02-06,82
2022-02-13,72
2022-02-20,61
2022-02-27,77
2022-03-06,69
2022-03-13,70
2022-03-20,74
2022-03-27,66
2022-04-03,95
2022-04-10,76
2022-04-17,86
2022-04-24,88
2022-05-01,85
2022-05-08,86
2022-05-15,83
2022-05-22,85
2022-05-29,81
2022-06-05,71
2022-06-12,94
2022-06-19,90
2022-06-26,65
2022-07-03,74
2022-07-10,100
2022-07-17,70
2022-07-24,71
2022-07-31,58
2022-08-07,76
2022-08-14,57
2022-08-21,60
2022-08-28,44
2022-09-04,47
2022-09-11,49
2022-09-18,60
2022-09-25,42
2022-10-02,58
2022-10-09,41
2022-10-16,47
2022-10-23,49
2022-10-30,60
2022-11-06,59
2022-11-13,43
2022-11-20,39
2022-11-27,49
2022-12-04,56
2022-12-11,43
2022-12-18,22
2022-12-25,39
