Kategorie: Alle Kategorien

Woche,Barcelona attractions: (Weltweit)
2023-01-01,73
2023-01-08,77
2023-01-15,76
2023-01-22,83
2023-01-29,77
2023-02-05,69
2023-02-12,68
2023-02-19,66
2023-02-26,83
2023-03-05,85
2023-03-12,87
2023-03-19,77
2023-03-26,84
2023-04-02,81
2023-04-09,81
2023-04-16,91
2023-04-23,100
2023-04-30,79
2023-05-07,88
2023-05-14,79
2023-05-21,85
2023-05-28,87
2023-06-04,77
2023-06-11,72
2023-06-18,77
2023-06-25,79
2023-07-02,96
2023-07-09,79
2023-07-16,86
2023-07-23,85
2023-07-30,86
2023-08-06,69
2023-08-13,86
2023-08-20,81
2023-08-27,77
2023-09-03,73
2023-09-10,76
2023-09-17,72
2023-09-24,88
2023-10-01,81
2023-10-08,77
2023-10-15,66
2023-10-22,64
2023-10-29,57
2023-11-05,51
2023-11-12,54
2023-11-19,59
2023-11-26,60
2023-12-03,50
2023-12-10,48
2023-12-17,48
2023-12-24,60
2023-12-31,69
