Kategorie: Alle Kategorien

Woche,Canary Islands: (Weltweit)
2023-01-01,89
2023-01-08,93
2023-01-15,87
2023-01-22,89
2023-01-29,86
2023-02-05,84
2023-02-12,79
2023-02-19,77
2023-02-26,74
2023-03-05,68
2023-03-12,68
2023-03-19,68
2023-03-26,73
2023-04-02,65
2023-04-09,69
2023-04-16,77
2023-04-23,64
2023-04-30,61
2023-05-07,58
2023-05-14,59
2023-05-21,60
2023-05-28,59
2023-06-04,65
2023-06-11,59
2023-06-18,59
2023-06-25,66
2023-07-02,73
2023-07-09,78
2023-07-16,93
2023-07-23,74
2023-07-30,70
2023-08-06,71
2023-08-13,84
2023-08-20,70
2023-08-27,73
2023-09-03,88
2023-09-10,78
2023-09-17,66
2023-09-24,81
2023-10-01,74
2023-10-08,75
2023-10-15,77
2023-10-22,73
2023-10-29,76
2023-11-05,79
2023-11-12,75
2023-11-19,82
2023-11-26,76
2023-12-03,73
2023-12-10,67
2023-12-17,75
2023-12-24,86
2023-12-31,100
