Kategorie: Alle Kategorien

Woche,Park Güell: (Weltweit)
2023-01-01,47
2023-01-08,37
2023-01-15,42
2023-01-22,35
2023-01-29,44
2023-02-05,42
2023-02-12,48
2023-02-19,57
2023-02-26,51
2023-03-05,62
2023-03-12,59
2023-03-19,59
2023-03-26,68
2023-04-02,94
2023-04-09,88
2023-04-16,75
2023-04-23,73
2023-04-30,73
2023-05-07,69
2023-05-14,80
2023-05-21,73
2023-05-28,70
2023-06-04,73
2023-06-11,63
2023-06-18,65
2023-06-25,68
2023-07-02,73
2023-07-09,72
2023-07-16,78
2023-07-23,83
2023-07-30,88
2023-08-06,81
2023-08-13,84
2023-08-20,85
2023-08-27,88
2023-09-03,82
2023-09-10,79
2023-09-17,81
2023-09-24,81
2023-10-01,100
2023-10-08,81
2023-10-15,75
2023-10-22,72
2023-10-29,81
2023-11-05,55
2023-11-12,59
2023-11-19,46
2023-11-26,46
2023-12-03,40
2023-12-10,33
2023-12-17,40
2023-12-24,52
2023-12-31,60
