Kategorie: Alle Kategorien

Woche,Prado Museum: (Weltweit)
2023-01-01,72
2023-01-08,63
2023-01-15,68
2023-01-22,64
2023-01-29,60
2023-02-05,78
2023-02-12,89
2023-02-19,82
2023-02-26,84
2023-03-05,79
2023-03-12,86
2023-03-19,80
2023-03-26,81
2023-04-02,90
2023-04-09,84
2023-04-16,89
2023-04-23,93
2023-04-30,92
2023-05-07,80
2023-05-14,91
2023-05-21,90
2023-05-28,78
2023-06-04,86
2023-06-11,87
2023-06-18,81
2023-06-25,78
2023-07-02,80
2023-07-09,85
2023-07-16,80
2023-07-23,70
2023-07-30,72
2023-08-06,76
2023-08-13,75
2023-08-20,73
2023-08-27,79
2023-09-03,83
2023-09-10,83
2023-09-17,100
2023-09-24,97
2023-10-01,100
2023-10-08,96
2023-10-15,87
2023-10-22,88
2023-10-29,92
2023-11-05,80
2023-11-12,82
2023-11-19,81
2023-11-26,66
2023-12-03,70
2023-12-10,56
2023-12-17,59
2023-12-24,80
2023-12-31,83
