Kategorie: Alle Kategorien

Woche,Sagrada Familia: (Weltweit)
2023-01-01,74
2023-01-08,70
2023-01-15,67
2023-01-22,65
2023-01-29,72
2023-02-05,70
2023-02-12,73
2023-02-19,74
2023-02-26,68
2023-03-05,74
2023-03-12,73
2023-03-19,76
2023-03-26,78
2023-04-02,84
2023-04-09,83
2023-04-16,89
2023-04-23,87
2023-04-30,83
2023-05-07,78
2023-05-14,80
2023-05-21,88
2023-05-28,78
2023-06-04,80
2023-06-11,75
2023-06-18,75
2023-06-25,74
2023-07-02,76
2023-07-09,77
2023-07-16,75
2023-07-23,73
2023-07-30,77
2023-08-06,86
2023-08-13,77
2023-08-20,77
2023-08-27,80
2023-09-03,82
2023-09-10,81
2023-09-17,82
2023-09-24,80
2023-10-01,94
2023-10-08,79
2023-10-15,82
2023-10-22,82
2023-10-29,75
2023-11-05,76
2023-11-12,97
2023-11-19,100
2023-11-26,91
2023-12-03,85
2023-12-10,81
2023-12-17,75
2023-12-24,100
2023-12-31,88
