Kategorie: Alle Kategorien

Woche,Santiago de Compostela Cathedral: (Weltweit)
2023-01-01,28
2023-01-08,36
2023-01-15,39
2023-01-22,39
2023-01-29,52
2023-02-05,41
2023-02-12,43
2023-02-19,51
2023-02-26,34
2023-03-05,55
2023-03-12,46
2023-03-19,46
2023-03-26,48
2023-04-02,57
2023-04-09,60
2023-04-16,60
2023-04-23,77
2023-04-30,59
2023-05-07,74
2023-05-14,75
2023-05-21,80
2023-05-28,75
2023-06-04,68
2023-06-11,72
2023-06-18,74
2023-06-25,62
2023-07-02,66
2023-07-09,47
2023-07-16,54
2023-07-23,81
2023-07-30,44
2023-08-06,60
2023-08-13,71
2023-08-20,72
2023-08-27,55
2023-09-03,58
2023-09-10,76
2023-09-17,100
2023-09-24,100
2023-10-01,95
2023-10-08,67
2023-10-15,60
2023-10-22,71
2023-10-29,66
2023-11-05,63
2023-11-12,45
2023-11-19,46
2023-11-26,51
2023-12-03,41
2023-12-10,44
2023-12-17,21
2023-12-24,30
2023-12-31,30
