Kategorie: Alle Kategorien

Woche,Spain travel restrictions: (Weltweit)
2023-01-01,85
2023-01-08,98
2023-01-15,100
2023-01-22,77
2023-01-29,50
2023-02-05,64
2023-02-12,54
2023-02-19,43
2023-02-26,60
2023-03-05,64
2023-03-12,44
2023-03-19,47
2023-03-26,51
2023-04-02,49
2023-04-09,61
2023-04-16,32
2023-04-23,48
2023-04-30,37
2023-05-07,49
2023-05-14,49
2023-05-21,39
2023-05-28,32
2023-06-04,22
2023-06-11,28
2023-06-18,21
2023-06-25,21
2023-07-02,33
2023-07-09,29
2023-07-16,30
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,38
2023-09-03,38
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
