Kategorie: Alle Kategorien

Woche,currency exchange in Spain: (Weltweit)
2023-01-01,45
2023-01-08,0
2023-01-15,0
2023-01-22,38
2023-01-29,0
2023-02-05,44
2023-02-12,0
2023-02-19,45
2023-02-26,50
2023-03-05,72
2023-03-12,50
2023-03-19,51
2023-03-26,50
2023-04-02,61
2023-04-09,66
2023-04-16,65
2023-04-23,100
2023-04-30,76
2023-05-07,81
2023-05-14,91
2023-05-21,43
2023-05-28,65
2023-06-04,0
2023-06-11,47
2023-06-18,57
2023-06-25,44
2023-07-02,75
2023-07-09,56
2023-07-16,53
2023-07-23,0
2023-07-30,61
2023-08-06,0
2023-08-13,0
2023-08-20,61
2023-08-27,0
2023-09-03,0
2023-09-10,77
2023-09-17,61
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,39
2023-10-22,40
2023-10-29,60
2023-11-05,63
2023-11-12,39
2023-11-19,44
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
