Kategorie: Alle Kategorien

Woche,river cruises Spain: (Weltweit)
2023-01-01,58
2023-01-08,100
2023-01-15,60
2023-01-22,93
2023-01-29,97
2023-02-05,60
2023-02-12,60
2023-02-19,59
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,58
2023-04-02,0
2023-04-09,69
2023-04-16,0
2023-04-23,0
2023-04-30,86
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,86
2023-06-04,90
2023-06-11,66
2023-06-18,0
2023-06-25,60
2023-07-02,67
2023-07-09,94
2023-07-16,59
2023-07-23,65
2023-07-30,0
2023-08-06,66
2023-08-13,71
2023-08-20,0
2023-08-27,0
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,66
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,55
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,76
2023-12-03,69
2023-12-10,0
2023-12-17,62
2023-12-24,0
2023-12-31,0
