Kategorie: Alle Kategorien

Woche,train travel in Spain: (Weltweit)
2023-01-01,84
2023-01-08,72
2023-01-15,77
2023-01-22,69
2023-01-29,86
2023-02-05,45
2023-02-12,81
2023-02-19,66
2023-02-26,83
2023-03-05,58
2023-03-12,65
2023-03-19,55
2023-03-26,70
2023-04-02,55
2023-04-09,62
2023-04-16,72
2023-04-23,60
2023-04-30,57
2023-05-07,69
2023-05-14,72
2023-05-21,100
2023-05-28,52
2023-06-04,57
2023-06-11,50
2023-06-18,59
2023-06-25,58
2023-07-02,68
2023-07-09,82
2023-07-16,56
2023-07-23,48
2023-07-30,64
2023-08-06,35
2023-08-13,48
2023-08-20,55
2023-08-27,41
2023-09-03,51
2023-09-10,61
2023-09-17,45
2023-09-24,38
2023-10-01,49
2023-10-08,32
2023-10-15,45
2023-10-22,39
2023-10-29,37
2023-11-05,41
2023-11-12,33
2023-11-19,49
2023-11-26,44
2023-12-03,41
2023-12-10,30
2023-12-17,33
2023-12-24,48
2023-12-31,57
