Kategorie: Alle Kategorien

Woche,Alcatraz: (Weltweit)
2023-01-01,73
2023-01-08,62
2023-01-15,64
2023-01-22,70
2023-01-29,68
2023-02-05,66
2023-02-12,66
2023-02-19,74
2023-02-26,67
2023-03-05,69
2023-03-12,64
2023-03-19,79
2023-03-26,77
2023-04-02,76
2023-04-09,70
2023-04-16,67
2023-04-23,73
2023-04-30,74
2023-05-07,78
2023-05-14,72
2023-05-21,67
2023-05-28,70
2023-06-04,82
2023-06-11,78
2023-06-18,78
2023-06-25,80
2023-07-02,77
2023-07-09,75
2023-07-16,100
2023-07-23,78
2023-07-30,74
2023-08-06,89
2023-08-13,73
2023-08-20,72
2023-08-27,69
2023-09-03,68
2023-09-10,62
2023-09-17,72
2023-09-24,62
2023-10-01,59
2023-10-08,61
2023-10-15,64
2023-10-22,61
2023-10-29,65
2023-11-05,70
2023-11-12,67
2023-11-19,64
2023-11-26,59
2023-12-03,57
2023-12-10,53
2023-12-17,47
2023-12-24,61
2023-12-31,61
