Kategorie: Alle Kategorien

Woche,Best hotels in New York City: (Weltweit)
2023-01-01,100
2023-01-08,92
2023-01-15,76
2023-01-22,74
2023-01-29,64
2023-02-05,69
2023-02-12,72
2023-02-19,67
2023-02-26,78
2023-03-05,70
2023-03-12,64
2023-03-19,70
2023-03-26,62
2023-04-02,52
2023-04-09,57
2023-04-16,67
2023-04-23,69
2023-04-30,61
2023-05-07,69
2023-05-14,68
2023-05-21,58
2023-05-28,58
2023-06-04,61
2023-06-11,79
2023-06-18,68
2023-06-25,74
2023-07-02,70
2023-07-09,66
2023-07-16,56
2023-07-23,64
2023-07-30,66
2023-08-06,65
2023-08-13,74
2023-08-20,53
2023-08-27,48
2023-09-03,68
2023-09-10,65
2023-09-17,61
2023-09-24,78
2023-10-01,67
2023-10-08,53
2023-10-15,41
2023-10-22,65
2023-10-29,58
2023-11-05,74
2023-11-12,58
2023-11-19,61
2023-11-26,71
2023-12-03,70
2023-12-10,66
2023-12-17,63
2023-12-24,80
2023-12-31,70
