Kategorie: Alle Kategorien

Woche,Currency exchange in USA: (Weltweit)
2023-01-01,43
2023-01-08,49
2023-01-15,59
2023-01-22,58
2023-01-29,73
2023-02-05,50
2023-02-12,63
2023-02-19,26
2023-02-26,56
2023-03-05,50
2023-03-12,50
2023-03-19,61
2023-03-26,49
2023-04-02,76
2023-04-09,60
2023-04-16,62
2023-04-23,56
2023-04-30,62
2023-05-07,64
2023-05-14,65
2023-05-21,86
2023-05-28,62
2023-06-04,66
2023-06-11,58
2023-06-18,78
2023-06-25,67
2023-07-02,78
2023-07-09,50
2023-07-16,75
2023-07-23,100
2023-07-30,57
2023-08-06,72
2023-08-13,75
2023-08-20,75
2023-08-27,68
2023-09-03,80
2023-09-10,56
2023-09-17,67
2023-09-24,71
2023-10-01,49
2023-10-08,64
2023-10-15,42
2023-10-22,50
2023-10-29,65
2023-11-05,47
2023-11-12,46
2023-11-19,48
2023-11-26,71
2023-12-03,58
2023-12-10,46
2023-12-17,51
2023-12-24,48
2023-12-31,64
