Kategorie: Alle Kategorien

Woche,Drive Route 66: (Weltweit)
2023-01-01,67
2023-01-08,59
2023-01-15,57
2023-01-22,41
2023-01-29,51
2023-02-05,53
2023-02-12,48
2023-02-19,56
2023-02-26,48
2023-03-05,62
2023-03-12,66
2023-03-19,56
2023-03-26,54
2023-04-02,74
2023-04-09,77
2023-04-16,69
2023-04-23,63
2023-04-30,62
2023-05-07,60
2023-05-14,69
2023-05-21,82
2023-05-28,85
2023-06-04,96
2023-06-11,93
2023-06-18,90
2023-06-25,81
2023-07-02,84
2023-07-09,74
2023-07-16,100
2023-07-23,84
2023-07-30,73
2023-08-06,80
2023-08-13,66
2023-08-20,70
2023-08-27,64
2023-09-03,61
2023-09-10,46
2023-09-17,56
2023-09-24,52
2023-10-01,49
2023-10-08,43
2023-10-15,42
2023-10-22,38
2023-10-29,38
2023-11-05,40
2023-11-12,40
2023-11-19,35
2023-11-26,32
2023-12-03,40
2023-12-10,42
2023-12-17,36
2023-12-24,56
2023-12-31,57
