Kategorie: Alle Kategorien

Woche,Empire state building: (Weltweit)
2023-01-01,62
2023-01-08,59
2023-01-15,63
2023-01-22,57
2023-01-29,100
2023-02-05,62
2023-02-12,65
2023-02-19,63
2023-02-26,58
2023-03-05,68
2023-03-12,63
2023-03-19,64
2023-03-26,63
2023-04-02,67
2023-04-09,60
2023-04-16,66
2023-04-23,61
2023-04-30,69
2023-05-07,59
2023-05-14,65
2023-05-21,61
2023-05-28,62
2023-06-04,62
2023-06-11,59
2023-06-18,86
2023-06-25,67
2023-07-02,65
2023-07-09,68
2023-07-16,62
2023-07-23,64
2023-07-30,61
2023-08-06,64
2023-08-13,67
2023-08-20,62
2023-08-27,69
2023-09-03,65
2023-09-10,76
2023-09-17,79
2023-09-24,70
2023-10-01,72
2023-10-08,66
2023-10-15,68
2023-10-22,66
2023-10-29,63
2023-11-05,86
2023-11-12,78
2023-11-19,68
2023-11-26,84
2023-12-03,78
2023-12-10,82
2023-12-17,70
2023-12-24,85
2023-12-31,74
