Kategorie: Alle Kategorien

Woche,Grand canyon: (Weltweit)
2023-01-01,60
2023-01-08,61
2023-01-15,58
2023-01-22,60
2023-01-29,59
2023-02-05,61
2023-02-12,61
2023-02-19,65
2023-02-26,66
2023-03-05,65
2023-03-12,81
2023-03-19,65
2023-03-26,68
2023-04-02,65
2023-04-09,62
2023-04-16,61
2023-04-23,62
2023-04-30,68
2023-05-07,61
2023-05-14,63
2023-05-21,65
2023-05-28,60
2023-06-04,61
2023-06-11,65
2023-06-18,100
2023-06-25,65
2023-07-02,66
2023-07-09,59
2023-07-16,59
2023-07-23,58
2023-07-30,59
2023-08-06,65
2023-08-13,73
2023-08-20,58
2023-08-27,55
2023-09-03,57
2023-09-10,60
2023-09-17,56
2023-09-24,59
2023-10-01,57
2023-10-08,56
2023-10-15,57
2023-10-22,53
2023-10-29,50
2023-11-05,50
2023-11-12,51
2023-11-19,48
2023-11-26,44
2023-12-03,47
2023-12-10,43
2023-12-17,47
2023-12-24,56
2023-12-31,63
