Kategorie: Alle Kategorien

Woche,Route 66: (Weltweit)
2023-01-01,69
2023-01-08,64
2023-01-15,64
2023-01-22,62
2023-01-29,69
2023-02-05,64
2023-02-12,63
2023-02-19,69
2023-02-26,63
2023-03-05,73
2023-03-12,70
2023-03-19,66
2023-03-26,67
2023-04-02,71
2023-04-09,78
2023-04-16,69
2023-04-23,70
2023-04-30,74
2023-05-07,70
2023-05-14,80
2023-05-21,82
2023-05-28,100
2023-06-04,77
2023-06-11,74
2023-06-18,77
2023-06-25,77
2023-07-02,78
2023-07-09,75
2023-07-16,83
2023-07-23,84
2023-07-30,77
2023-08-06,80
2023-08-13,74
2023-08-20,75
2023-08-27,71
2023-09-03,69
2023-09-10,69
2023-09-17,64
2023-09-24,64
2023-10-01,59
2023-10-08,59
2023-10-15,57
2023-10-22,53
2023-10-29,54
2023-11-05,54
2023-11-12,52
2023-11-19,60
2023-11-26,48
2023-12-03,49
2023-12-10,50
2023-12-17,53
2023-12-24,61
2023-12-31,63
