Kategorie: Alle Kategorien

Woche,Statue of liberty: (Weltweit)
2023-01-01,77
2023-01-08,67
2023-01-15,84
2023-01-22,67
2023-01-29,68
2023-02-05,70
2023-02-12,73
2023-02-19,76
2023-02-26,72
2023-03-05,75
2023-03-12,69
2023-03-19,86
2023-03-26,83
2023-04-02,80
2023-04-09,81
2023-04-16,78
2023-04-23,74
2023-04-30,79
2023-05-07,76
2023-05-14,77
2023-05-21,79
2023-05-28,77
2023-06-04,75
2023-06-11,78
2023-06-18,80
2023-06-25,84
2023-07-02,100
2023-07-09,79
2023-07-16,72
2023-07-23,77
2023-07-30,72
2023-08-06,74
2023-08-13,75
2023-08-20,77
2023-08-27,73
2023-09-03,73
2023-09-10,80
2023-09-17,76
2023-09-24,73
2023-10-01,79
2023-10-08,77
2023-10-15,76
2023-10-22,81
2023-10-29,71
2023-11-05,78
2023-11-12,78
2023-11-19,64
2023-11-26,75
2023-12-03,70
2023-12-10,77
2023-12-17,60
2023-12-24,86
2023-12-31,72
