Kategorie: Alle Kategorien

Woche,Things to do in New York City: (Weltweit)
2023-01-01,99
2023-01-08,100
2023-01-15,80
2023-01-22,84
2023-01-29,78
2023-02-05,80
2023-02-12,80
2023-02-19,97
2023-02-26,70
2023-03-05,83
2023-03-12,78
2023-03-19,84
2023-03-26,75
2023-04-02,81
2023-04-09,73
2023-04-16,69
2023-04-23,73
2023-04-30,71
2023-05-07,74
2023-05-14,87
2023-05-21,88
2023-05-28,79
2023-06-04,79
2023-06-11,79
2023-06-18,78
2023-06-25,86
2023-07-02,85
2023-07-09,88
2023-07-16,70
2023-07-23,79
2023-07-30,80
2023-08-06,78
2023-08-13,85
2023-08-20,73
2023-08-27,68
2023-09-03,69
2023-09-10,69
2023-09-17,64
2023-09-24,79
2023-10-01,73
2023-10-08,67
2023-10-15,77
2023-10-22,82
2023-10-29,73
2023-11-05,86
2023-11-12,97
2023-11-19,71
2023-11-26,89
2023-12-03,87
2023-12-10,86
2023-12-17,78
2023-12-24,99
2023-12-31,83
