Kategorie: Alle Kategorien

Woche,USA travel restrictions: (Weltweit)
2023-01-01,100
2023-01-08,79
2023-01-15,50
2023-01-22,49
2023-01-29,70
2023-02-05,54
2023-02-12,49
2023-02-19,51
2023-02-26,47
2023-03-05,52
2023-03-12,46
2023-03-19,50
2023-03-26,59
2023-04-02,62
2023-04-09,80
2023-04-16,49
2023-04-23,54
2023-04-30,77
2023-05-07,64
2023-05-14,29
2023-05-21,28
2023-05-28,18
2023-06-04,15
2023-06-11,13
2023-06-18,14
2023-06-25,14
2023-07-02,12
2023-07-09,11
2023-07-16,14
2023-07-23,17
2023-07-30,16
2023-08-06,10
2023-08-13,8
2023-08-20,12
2023-08-27,17
2023-09-03,16
2023-09-10,16
2023-09-17,10
2023-09-24,16
2023-10-01,12
2023-10-08,17
2023-10-15,13
2023-10-22,13
2023-10-29,14
2023-11-05,8
2023-11-12,9
2023-11-19,8
2023-11-26,8
2023-12-03,16
2023-12-10,0
2023-12-17,9
2023-12-24,12
2023-12-31,8
