Kategorie: Alle Kategorien

Woche,food usa: (Weltweit)
2023-01-01,77
2023-01-08,81
2023-01-15,82
2023-01-22,86
2023-01-29,86
2023-02-05,81
2023-02-12,77
2023-02-19,92
2023-02-26,87
2023-03-05,80
2023-03-12,82
2023-03-19,86
2023-03-26,80
2023-04-02,84
2023-04-09,76
2023-04-16,83
2023-04-23,81
2023-04-30,81
2023-05-07,81
2023-05-14,100
2023-05-21,86
2023-05-28,82
2023-06-04,86
2023-06-11,84
2023-06-18,92
2023-06-25,82
2023-07-02,86
2023-07-09,94
2023-07-16,91
2023-07-23,87
2023-07-30,83
2023-08-06,93
2023-08-13,89
2023-08-20,87
2023-08-27,90
2023-09-03,80
2023-09-10,90
2023-09-17,83
2023-09-24,82
2023-10-01,74
2023-10-08,81
2023-10-15,78
2023-10-22,79
2023-10-29,83
2023-11-05,79
2023-11-12,84
2023-11-19,83
2023-11-26,88
2023-12-03,88
2023-12-10,81
2023-12-17,77
2023-12-24,76
2023-12-31,83
