Kategorie: Alle Kategorien

Woche,golden gate bridge: (Weltweit)
2023-01-01,76
2023-01-08,73
2023-01-15,81
2023-01-22,77
2023-01-29,72
2023-02-05,74
2023-02-12,69
2023-02-19,80
2023-02-26,75
2023-03-05,74
2023-03-12,73
2023-03-19,78
2023-03-26,73
2023-04-02,73
2023-04-09,77
2023-04-16,84
2023-04-23,84
2023-04-30,76
2023-05-07,73
2023-05-14,80
2023-05-21,79
2023-05-28,78
2023-06-04,67
2023-06-11,74
2023-06-18,74
2023-06-25,69
2023-07-02,84
2023-07-09,76
2023-07-16,73
2023-07-23,80
2023-07-30,81
2023-08-06,77
2023-08-13,75
2023-08-20,100
2023-08-27,84
2023-09-03,79
2023-09-10,82
2023-09-17,81
2023-09-24,76
2023-10-01,76
2023-10-08,75
2023-10-15,70
2023-10-22,69
2023-10-29,61
2023-11-05,77
2023-11-12,71
2023-11-19,66
2023-11-26,71
2023-12-03,69
2023-12-10,65
2023-12-17,58
2023-12-24,71
2023-12-31,84
