Kategorie: Alle Kategorien

Woche,time square: (Weltweit)
2023-01-01,89
2023-01-08,41
2023-01-15,40
2023-01-22,44
2023-01-29,41
2023-02-05,42
2023-02-12,43
2023-02-19,45
2023-02-26,43
2023-03-05,43
2023-03-12,43
2023-03-19,45
2023-03-26,42
2023-04-02,43
2023-04-09,41
2023-04-16,45
2023-04-23,44
2023-04-30,43
2023-05-07,43
2023-05-14,41
2023-05-21,43
2023-05-28,41
2023-06-04,46
2023-06-11,46
2023-06-18,44
2023-06-25,46
2023-07-02,49
2023-07-09,43
2023-07-16,47
2023-07-23,46
2023-07-30,47
2023-08-06,46
2023-08-13,46
2023-08-20,42
2023-08-27,46
2023-09-03,45
2023-09-10,46
2023-09-17,45
2023-09-24,44
2023-10-01,44
2023-10-08,47
2023-10-15,40
2023-10-22,42
2023-10-29,43
2023-11-05,46
2023-11-12,44
2023-11-19,43
2023-11-26,47
2023-12-03,52
2023-12-10,49
2023-12-17,50
2023-12-24,58
2023-12-31,100
